Participant,Sensor,Task,Area,Jerk X,Jerk Y,Jerk Z,RMS Acceleration,RMS Angular Velocity,Ellipse Area,Box Area,Total Pathway Length,volume,Mean Acceleration X,Mean Acceleration Y,Mean Acceleration Z
participant12,head,task4.csv,7286073.545945952,2.269316939977106e-07,1.0520494452566818e-06,-2.184760775005017e-07,2.954409439515085,0.8718641584909593,1.118211395276386,8.063545152716,506.3196406191617,38.20177809795548,0.4655506514285714,3.376904625714286,-9.420871428571427
participant12,lowerback,task4.csv,2933398.854439179,-2.420089647233719e-06,-3.200274130523508e-07,-3.6671166139952164e-07,1.889832074117117,0.9295148962236314,1.2565109408515436,11.650286438999998,137.73068445228023,8.659882766652405,-0.265613296460177,1.4557606902654867,-9.734387544247786
participant12,torso,task4.csv,15400522.444324594,7.973046111121011e-07,-1.135863991603716e-06,-3.220614308859091e-07,3.662235026802199,0.8360114784511791,1.7925687651382436,27.045664240000004,10965.227419783188,36.01873526592221,2.0908511442622952,1.2188838868852458,-9.479419062295085
participant14,head,task4.csv,26779178.514770165,1.3970575904526424e-07,1.5644512384256342e-06,-2.929857273735989e-07,6.099097659252528,1.1067814593686929,18.535750653514317,91.25793975,31699.53789230702,136.62327394305655,0.1615096487252124,0.1748361373937676,-8.36651488385269
participant14,torso,task4.csv,7280415.991411725,9.47105405996874e-07,-2.1552370195331207e-07,-2.849126336703256e-07,3.4684350354822397,1.01196781596527,2.6823337206908104,15.74496772,1719.2914568757526,55.23992640079558,-0.4758577172011662,0.6322583148688047,-9.59038947521866
participant15,lowerback,task4.csv,10618713.309526475,1.1914698835604352e-06,-1.8759769431929065e-06,-1.1100862922128528e-06,3.113934374238617,0.8796475686992881,2.714416869340556,52.383259353828,2447.283812614197,108.92530162572363,2.0485936104166664,0.5718593041666667,-9.237802804166668
participant15,torso,task4.csv,13269564.554544533,5.992318589900454e-07,5.037791887220946e-07,-4.5267888289910326e-07,4.819036311268954,1.1088862550503975,4.6221464717741165,44.666510634,10311.099205843497,86.74732879700645,0.3558967463503652,0.8711184306569343,-9.17710211678832
participant2,head,task4.csv,26779178.514770165,1.3970575904526424e-07,1.5644512384256342e-06,-2.929857273735989e-07,6.099097659252528,1.1067814593686929,18.535750653514317,91.25793975,31699.53789230702,136.62327394305655,0.1615096487252124,0.1748361373937676,-8.36651488385269
participant2,lowerback,task4.csv,14765005.781092534,-4.832877950875272e-07,-1.580330987362432e-08,-1.8854863972757305e-07,2.667164470956292,0.7487917198613793,4.783863139721968,29.010926357784005,16382.668886937572,65.52475031966264,4.343185992471769,0.1415301028858218,-8.58225525846926
participant2,torso,task4.csv,14791152.521371435,3.811930067372559e-07,-4.947371547474828e-08,-2.984965947182327e-08,3.21528104016076,0.9089031716910544,3.7036805623140543,21.66133414212,22959.889482436884,34.62631705431172,0.2055043735362995,1.0594644964871194,-9.501135316159251
participant3,head,task4.csv,11946600.925265526,3.220837536475631e-07,6.181641315733767e-07,1.891117705991967e-07,3.1183988566310603,0.7975337839704596,2.512444764162518,17.327060250499997,4022.96392927182,27.602048563691607,0.2252684007858546,5.881010412573674,-7.936822740667977
participant3,lowerback,task4.csv,6653210.266389294,9.974087423525878e-07,-1.0607411522458804e-06,-1.7775996012128454e-07,2.88268952023326,1.03058713165053,1.386660960144786,28.257260711040004,4508.217922101654,39.98474758784975,3.112774183544304,0.6516077805907172,-8.996458896624473
participant3,torso,task4.csv,15400522.444324594,7.973046111121011e-07,-1.135863991603716e-06,-3.220614308859091e-07,3.662235026802199,0.8360114784511791,1.7925687651382436,27.045664240000004,10965.227419783188,36.01873526592221,2.0908511442622952,1.2188838868852458,-9.479419062295085
participant4,head,task4.csv,9513151.453246577,-1.0064088892081517e-07,1.721849588271277e-06,-3.718868284723061e-07,4.686908886663993,0.7612863375751401,11.224366299673251,40.36783700816999,2601.075692160935,45.82083518598282,-0.2986465970149253,0.1839972328358207,-9.617467543283585
participant4,lowerback,task4.csv,10799669.65939094,4.56701147968458e-07,-2.111101152280571e-07,1.342656476912443e-07,4.305516702867839,1.0778029086189895,7.42435958932828,36.28987545689999,2364.0465884520218,55.2443571919852,5.269350504347827,-1.655142608695652,-7.747924469565217
participant4,torso,task4.csv,10634939.924130931,-3.5245236560478695e-08,4.784324091950207e-07,-5.300059959885039e-07,5.149949943026256,0.9645020130437074,7.3938840748032,34.153085850000004,2512.6737149064493,43.92327956539544,-0.9018101970149252,0.241757447761194,-9.317136907462686
participant5,head,task4.csv,7286073.545945952,2.269316939977106e-07,1.0520494452566818e-06,-2.184760775005017e-07,2.954409439515085,0.8718641584909593,1.118211395276386,8.063545152716,506.3196406191617,38.20177809795548,0.4655506514285714,3.376904625714286,-9.420871428571427
participant5,lowerback,task4.csv,10039463.18482669,5.774143618209208e-07,-1.3519494634402576e-08,-3.538735824608554e-07,4.651179457648186,1.16192335471742,2.84113522183404,26.77464,1546.3933551102657,152.1403972866118,-0.0871141228070175,1.434957865497076,-9.441646087719295
participant5,torso,task4.csv,9904445.985460538,1.6636406931250157e-06,-1.336080171218395e-06,-6.91634559200478e-08,4.685313395923025,1.084235729660546,4.277533760246274,36.58525592,1915.393913480745,74.98011285202031,0.6251825863874346,0.7156063246073299,-9.143009460732983
participant6,head,task4.csv,7285425.421951583,6.34072773279452e-07,-7.560488103015695e-07,-5.369791550584708e-07,2.6159363625903587,0.8460896640850776,1.029284188671113,7.092047699999998,2056.7290099783577,3.8853629569669415,0.8150682561307901,2.332044294277929,-9.496270572207084
participant6,lowerback,task4.csv,3426555.6250196947,1.94682201225454e-06,-3.603241451107624e-07,4.3315998617825893e-07,1.6036680419607554,0.9935829538662092,0.9181042890131202,12.54978395748,758.2471698478554,7.657267116219608,0.7502616918767507,1.6771820504201682,-9.43400561344538
participant6,torso,task4.csv,14246775.28587693,4.2502790628714906e-07,4.040384298869051e-07,-1.0037315614275737e-08,3.883214178595501,0.879549749796937,4.432931579150267,42.818000000000005,18531.089569319603,45.97342548729183,3.226101077809798,0.7065597910662825,-8.994885659942364
participant7,head,task4.csv,27555521.112176985,-4.797536053082076e-07,6.586627376329356e-07,-5.152293221398274e-07,5.3291369813958855,0.9615583595081492,8.791306350845254,76.58636342440299,28659.905352809557,91.8675253429404,-2.8153984690140845,-0.301502352112676,-9.013036025352111
participant7,lowerback,task4.csv,14453011.365569877,6.426673547091653e-07,-1.6853752021078765e-06,-2.8817841257486616e-07,3.0791909176939973,0.9411792118860786,2.806032699286842,75.50974681362,4829.452318713982,56.69691029790568,-0.1309869143730887,1.6296590489296636,-9.374303081039756
participant7,torso,task4.csv,14246775.28587693,4.2502790628714906e-07,4.040384298869051e-07,-1.0037315614275737e-08,3.883214178595501,0.879549749796937,4.432931579150267,42.818000000000005,18531.089569319603,45.97342548729183,3.226101077809798,0.7065597910662825,-8.994885659942364
participant8,lowerback,task4.csv,14400649.808864836,-8.216581677947641e-07,2.3280180364688602e-07,-6.244285625856344e-08,3.7344146258205706,0.8586159696136664,6.152903169072678,30.797591700348995,4239.704971293345,39.27050864185992,0.579400076305221,-1.428752921686747,-9.478330989959838
participant8,torso,task4.csv,9056963.314785898,6.834181565604755e-07,-7.303321114767355e-07,-1.7246069290908645e-08,4.407677296716299,1.0422518364009732,2.880672126871695,20.72948904,2101.0747799598807,29.526277832861357,-0.4315887562814071,0.7665880050251257,-9.234996256281407
participant9,head,task4.csv,27403623.26912201,4.695730596211841e-07,1.7992800656640657e-06,-8.060725731914886e-07,6.10884511669437,1.3140218777286938,19.14789949886176,106.0789,45315.1929308996,382.2034587175643,-0.466237270471464,1.3673135409429278,-8.32936155955335
participant9,lowerback,task4.csv,15650185.157907682,-5.579413983087779e-07,2.2588862189738481e-07,-9.634278717703915e-08,2.793581032959044,0.8556396923882289,7.962416312563009,73.25132969,18535.383195000843,312.2796591825292,1.606269968965517,0.2613811045977011,-9.37563283908046
participant1,head,task5.csv,35845091.60127264,1.2777739503812365e-07,3.718492799753857e-07,-1.282063083502961e-07,6.781626705759473,1.4902804890256327,18.218599846929077,116.7974,30347.45125265301,305.7569684584717,0.9070740739299612,-3.445778513618677,-8.562266215304799
participant1,lowerback,task5.csv,21494945.74925725,-5.344403382797928e-07,3.8515086177089525e-07,1.1506125733273653e-07,4.596568087004492,1.3682863733011703,11.06957836943116,86.90225985000001,20364.464389456574,185.65953397148263,3.242973617771509,0.0600147348377997,-8.648296954866007
participant1,torso,task5.csv,30819051.88777172,1.0273963152780356e-06,-7.996062368736044e-07,1.137313962929532e-07,5.928755299194143,1.2988180630621489,14.912782302920045,93.2604,28159.3929571088,170.8799683604829,0.0138064867256635,1.1424061668773704,-9.237954930467762
participant10,lowerback,task5.csv,31342867.584970158,-3.723353339259392e-08,5.563612695654087e-09,1.4460246529539706e-08,3.188359060613522,1.0630599648461556,9.273274294487292,86.56831407000001,41267.000645324006,247.49795702930595,2.7221543430656934,-0.8943703722627736,-9.201435524087591
participant10,torso,task5.csv,40104166.11120443,2.1550703603035803e-07,-2.390888004103019e-07,1.3137519269478802e-07,4.614943227894716,1.0647599996220949,6.447878366293833,53.0918234,78452.41519292028,135.17851619538015,-0.0859425028449501,0.8925290462304408,-9.430374014224752
participant11,lowerback,task5.csv,26217181.802855477,-7.814096386622417e-07,-7.118679211282295e-08,-1.6584275908386466e-07,4.217681769549604,1.3141236129514642,14.205128337780184,104.421789324,22258.900388758764,380.4451081045498,1.97075147113164,-0.3498725623556582,-9.04363398960739
